Name, MaxDist, MinDist, DevShotAngle, AimTolerance, AimLeadingPrediction, RotateRate, ElevateRate, IdlePower, RateOfFire, ReloadTime, HeatPerShot, MaxHeat, HeatSinkRate, ShotsInBurst, DelayAfterBurst, AmmoName
Flak Cannon, 4500, 1000, 0.75, 10, Basic, 0.03, 0.03, 0.06, 240, 600, 17, 1800, 50, 0, 0,    175mm Flak Shell   175mm HE Direct Fire   HEShrapBase   HEShrap   Flak_Shell_Frag   Flak Wall Test   Canister_FragmentFF
'Hela's Gaze', 6500, 0, 0.15, 35, Accurate, 7.5E-05, 0.00075, 0.25, 125, 380, 0, 100, 5, 0, 0,    Plasma_Shot
Laser Cannon, 3500, 100, 0, 10, Basic, 0.03, 0.03, 0.06, 360, 900, 1, 160, 8, 0, 0,    Fission_Beam_Primary   Fission_Beam_Secondary
BFG-Cannon, 10000, 2500, 0, 0, Basic, 0, 0, 0.025, 3600, 30, 1, 3600, 1, 0, 1500,    BFG_Cannon_Primary   C_HE_Fragment
Ion Cannon, 0, 0, 0, 1, Accurate, 1, 11, 0.25, 3600, 1200, 1, 70000, 9000000, 0, 0,    Ion_Beam
Scattergun, 0, 0, 0, 1, Accurate, 0.1, 0.1, 0.25, 120, 300, 1, 10000, 1250, 12, 30,    Scattergun_Base   Scattergun_Shot_2   Scattergun_Sabot
Project Pluto (SLAM), 0, 1000, 0.2, 360, Off, 0.1, 0.1, 100, 1, 60, 10001, 10000, 0, 0, 0,    SLAMMO   SLAM Nuke Acceleration   SLAM Nuke Terminal   SLAM Nuke Frag
Metal Storm, 40000, 0, 0.05, 5, Accurate, 0.1, 0.1, 0.25, 3600, 1200, 0, 1200, 61, 0, 0,    MetalStormProj1
BALLER, 0, 0, 0, 180, Advanced, 0, 0, 12, 60, 300, 1, 2000, 1, 2, 0,    BALLER   BALLER_bounce1   BALLER_bounce2   BALLER_bounce3   BALLER_bounce4   BALLER_bounce5   BALLER_bounce6   BALLER_bounce7   BALLER_bounce8   BALLER_bounce9   BALLER_bounce10
Afterburner, 0, 0, 5, 1, Off, 0.1, 0.1, 0.25, 3600, 0, 5, 1800, 20, 0, 120,    Afterburner_ammo_2
Afterburner, 0, 0, 5, 1, Off, 0.1, 0.1, 0.25, 3600, 0, 5, 1800, 20, 25, 0,    Afterburner_ammo_2_SG
Afterburner, 0, 0, 15, 1, Off, 0.1, 0.1, 0.25, 3600, 0, 3, 800, 25, 0, 120,    Afterburner_ammo_1
Extra Large Afterburner, 0, 0, 20, 1, Off, 0.1, 0.1, 0.25, 3600, 0, 3, 800, 25, 0, 120,    Afterburner_ammo_3
Ion Afterburner, 0, 0, 8, 1, Off, 0.1, 0.1, 0.25, 3600, 0, 5, 3200, 40, 0, 120,    Afterburner_ammo_4
Solid Rocket Booster, 0, 0, 20, 1, Off, 0.1, 0.1, 0.25, 3600, 0, 1, 3600, 0, 3600, 0,    SRB_ammo
DETPAK, 1, 0, 0.2, 1, Off, 0, 0, 0.25, 60, 1, 10000, 1, 1, 0, 0,    DETPAK   DETPAK2
DETPAK 1x1, 1, 0, 0.2, 1, Off, 0, 0, 0.25, 60, 1, 10000, 1, 1, 0, 0,    DETPAK   DETPAK2
DETPAK 3x1, 1, 0, 0.2, 1, Off, 0, 0, 0.25, 60, 1, 10000, 1, 1, 0, 0,    DETPAK   DETPAK2
Gatling Turret 2.0, 0, 0, 0.4, 30, Accurate, 0.06, 0.06, 12, 1150, 60, 26, 6000, 130, 0, 0,    VanillaBulletAMS   VanillaBulletAMS_AOE
Multiple Launched Rockets 2.0, 4000, 0, 1, 12, Basic, 0, 0, 4, 120, 360, 8, 121, 4, 0, 0,    Unguided Rockets
Guided Rocket Turret 2.0, 6000, 0, 4, 24, Basic, 0.02, 0.03, 48, 360, 1260, 15, 200, 4, 3, 60,    Mostly Guided Rocket
Autocannon Turret 2.0, 0, 0, 0.25, 2, Accurate, 0.03, 0.03, 0.005, 150, 120, 6, 100, 10, 0, 0,    Autocannon Shell
Assault Cannon Autoloader 2.0, 5000, 0, 0.15, 0.25, Accurate, 0.025, 0.01, 1, 240, 600, 1, 1000, 30, 4, 60,    Assault Cannon Shell
Artillery Autoloader 2.0, 7000, 0, 0.001, 0.00999999977648258, Accurate, 0, 0, 32, 120, 600, 1, 1000, 30, 4, 120,    Artillery Shell
Artillery Autoloaders 2.0, 6000, 0, 0, 0.150000005960464, Accurate, 0.008, 0.005, 1, 120, 600, 1, 1000, 30, 4, 120,    Artillery Shell
Railgun 2.0, 11000, 0, 0, 0.5, Advanced, 0, 0, 24, 20, 780, 90, 100, 6, 0, 0,    Large Railgun Slug
Vulcan Cannon, 10000, 0, 0.5, 1, Off, 0.5, 0.5, 0.1, 1200, 1, 1, 1200, 0, 0, 0,    VulcanShell
Crossfield, 2000, 0, 0, 45, Off, 0.02, 0.02, 0, 3600, 600, 0, 180, 1, 120, 30,    Crossfield Beam
Crossfield, 4000, 0, 0, 45, Off, 0.02, 0.02, 0, 3600, 600, 0, 180, 1, 120, 30,    Crossfield Beam
Crossfield, 4000, 0, 0, 45, Off, 0.02, 0.02, 0, 3600, 600, 0, 180, 1, 120, 30,    Crossfield Beam
Crossfield, 4000, 0, 0, 45, Off, 0.02, 0.02, 0, 3600, 600, 0, 180, 1, 120, 30,    Crossfield Beam
Tigtone, 10000, 0, 0, 10, Off, 0.5, 0.5, 0.1, 120, 600, 0, 100, 5, 3, 0,    EsperShell   EsperShot
Mammon, 4000, 0, 0, 45, Accurate, 0.008, 0.008, 0.25, 900, 300, 0, 100, 5, 0, 0,    Mammon Beam
Thanatos, 7000, 0, 0.35, 180, Accurate, 0.002, 0.002, 0.25, 100, 600, 40, 100, 5, 1, 0,    Thanatos Round   Thanatos Guided   Thanatos UnGuided
Magnetar, 6000, 0, 0, 1, Accurate, 0.0025, 0.0025, 1, 360, 600, 15, 380, 20, 24, 840,    Standard   Overload
Tempest, 0, 0, 0, 0, Accurate, 0, 0, 0.25, 120, 900, 100, 70000, 5, 0, 0,    APHE 600mm   600mm Heavy Shell Frag   HE 600mm
Hunter 405mm Coilgun, 0, 0, 0, 0, Accurate, 0, 0, 38, 3600, 900, 1, 70000, 1, 0, 0,    High Power Hunter   Hunter Shrapnel   Low Power Hunter   Unlimited Power Hunter   Unlimited Power Branch   Unlimited Power Branch 1   Unlimited Power Branch 2
Doppler Radar, 50000, 0, 0, 0, Off, 0, 0, 0, 0, 0, 0, 70000, 9000, 0, 0,    Radiowave
Punisher Burst Cannon, 3000, 0, 2, 1.75, Basic, 0.015, 0.03, 0.25, 250, 120, 0, 100, 100, 4, 60,    AP 70mm
Punisher Burst Cannon, 3000, 0, 2, 1.75, Basic, 0.015, 0.03, 0.25, 250, 120, 0, 100, 100, 4, 60,    AP 70mm
Ares Superheavy Gauss Cannon, 100000, 0, 0, 0, Accurate, 0, 0, 0.25, 36, 1500, 100, 100, 5, 0, 0,    Classic Ares   Debug Ares   Fragment_Hitscan_Ares
Artemis Railgun, 15000, 0, 0, 0, Advanced, 0, 0, 0.25, 60, 600, 0, 70000, 9000000, 0, 0,    Single Shot   AryxRailgunAmmoFrag   Repeating   AryxRailgunAmmoFrag_Mag   Hitscan_Artemis_Frag
Focus Beam, 0, 0, 0, 0, Off, 0, 0, 0.25, 360, 450, 200, 1400, 100, 0, 0,    Pulse Laser
Helios Plasma Cannon, 0, 0, 1, 180, Off, 0, 0, 0.25, 260, 360, 1, 70000, 9000000, 4, 0,    Zap   Helios_Zap_Stage2   Helios_Zap_Stage3   Helios_Zap_Stage4   Bap   Helios_Stage2   Helios_Stage3   Helios_Stage4
Apollo 250mm Railgun Turret, 5000, 0, 0, 0.100000001490116, Accurate, 0.015, 0.01, 5, 103, 600, 7, 8, 2, 1, 30,    Repeating   AryxRailgunAmmoFrag_Mag   Hitscan_Artemis_Frag
Pyro-acid Cannon, 4000, 0, 0.25, 5, Advanced, 0.002, 0.002, 0.25, 60, 900, 20, 100, 5, 1, 0,    Pyroacid_ammo   Pyroacid_guided_ammo   Pyroacid_splash_ammo   Pyroacid_splash2_ammo
Pyro-acid Cannon, 4000, 0, 0.25, 5, Advanced, 0.002, 0.002, 0.25, 50, 1200, 20, 100, 5, 1, 0,    HeavyPyroacid_ammo   HeavyPyroacid_guided_ammo   HeavyPyroacid_splash_ammo   HeavyPyroacid_splash2_ammo
Bio-plasma Cannon, 4000, 0, 0.25, 0.25, Advanced, 0.001, 0.001, 0.25, 30, 900, 100, 100, 5, 1, 0,    Bioplasma_ammo   Bioplasma_ammo_splash
Strangler Hivedrone Launcher, 6000, 0, 15, 180, Off, 0, 1, 0.25, 120, 10800, 2, 10000, 10000, 0, 0,    Hivedrone_ammo_launch   Hivedrone_ammo   Hivedrone_ammo_half   Hivedrone_ammo_quarter   Hivedrone_ammo_eighth   Hivedrone_ammo_sixteenth   Hivedrone_ammo_lunge
Bio-plasma Hivedrone Launcher, 6000, 0, 15, 180, Basic, 0, 1, 0.25, 120, 10800, 2, 100, 1, 0, 0,    Bioplasma_Hivedrone_ammo_launch   Bioplasma_Hivedrone_ammo   BioplasmaHivedrone_ammo_plasma   BioplasmaHivedrone_ammo_lunge
Tyranid Leap, 0, 0, 0.25, 0.25, Off, 0.001, 0.001, 0.25, 60, 10, 100, 100, 5, 1, 0,    Leap_ammo
LightParticleWhip, 0, 0, 0.3, 1, Accurate, 5, 5, 0.025, 20, 300, 1000, 1000, 2000, 0, 0,    Particle   Ammo 2
ParticleWhip, 0, 0, 0.5, 1, Accurate, 5, 5, 0.25, 16, 720, 1000, 1000, 2000, 0, 0,    Particle   Ammo 2
Nova Cannon, 0, 0, 0, 1, Accurate, 0.1, 0.1, 0.25, 60, 3000, 1, 70000, 9000000, 0, 0,    Nova Plasma Warhead
